City,Lat,Lng,Min_Temp,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Santa Catarina de Tepehuanes,25.35,-105.7333,69.71,69.71,59,86,4.38,MX,1660363636
Shangqiu,34.45,115.65,94.48,94.48,56,56,11.7,CN,1660363636
Carnarvon,-24.8667,113.6333,75.24,75.24,58,0,15.95,AU,1660363636
Paamiut,61.994,-49.6678,44.46,44.46,78,36,3.69,GL,1660363637
Namatanai,-3.6667,152.4333,84.25,84.25,68,61,7.52,PG,1660363637
Cabo Rojo,18.0866,-67.1457,73.06,81.73,87,89,1.01,PR,1660363637
Makakilo City,21.3469,-158.0858,74.98,80.92,58,20,14.97,US,1660363638
Castro,-24.7911,-50.0119,47.95,47.95,98,68,8.25,BR,1660363639
Talaya,61.3833,152.75,72.7,72.7,40,31,4.7,RU,1660363639
Yantarnyy,54.8717,19.9381,57.06,65.75,82,33,9.57,RU,1660363639
Agadir,30.4202,-9.5982,70.25,70.25,83,3,1.61,MA,1660363640
Kem',64.9555,34.5793,53.71,53.71,68,4,8.3,RU,1660363640
Santa Marta,11.2408,-74.199,79.34,79.34,83,100,4.34,CO,1660363641
Chul'man,56.8479,124.9104,54.55,54.55,95,100,3.53,RU,1660363641
San Quintín,30.4833,-115.95,71.58,71.58,84,43,10.18,MX,1660363641
Katherine,-14.4667,132.2667,88.12,88.12,33,65,12.66,AU,1660363642
Muskogee,35.5834,-95.3336,75.97,80.67,80,0,0.0,US,1660363642
Buin,-33.7333,-70.75,42.84,50.74,84,82,2.35,CL,1660363643
Tuatapere,-46.1333,167.6833,47.82,47.82,79,69,6.73,NZ,1660363643
Vao,-22.6667,167.4833,70.2,70.2,65,97,19.51,NC,1660363644
Kahului,20.8947,-156.47,78.84,84.22,61,40,25.32,US,1660363533
Peterhead,57.5058,-1.7981,54.45,55.8,89,77,5.39,GB,1660363644
Nanortalik,60.1432,-45.2371,45.99,45.99,98,97,6.49,GL,1660363645
Limbang,4.75,115.0,89.06,89.71,54,10,4.23,MY,1660363646
Isangel,-19.55,169.2667,74.48,74.48,62,69,18.25,VU,1660363646
Saint George,37.1041,-113.5841,79.25,81.19,58,0,1.01,US,1660363612
Nador,35.174,-2.9287,82.65,82.65,78,0,3.44,MA,1660363647
Markova,48.6758,24.4138,60.21,60.21,97,100,1.54,UA,1660363647
Vallenar,-28.5708,-70.7581,58.73,58.73,59,0,1.99,CL,1660363648
Vestmanna,62.1564,-7.1664,50.92,50.92,93,100,5.75,FO,1660363648
Xichang,27.8964,102.2634,79.41,79.41,67,57,3.56,CN,1660363649
Anadyr,64.75,177.4833,68.5,68.5,60,40,13.42,RU,1660363649
Ihosy,-22.4,46.1167,55.99,55.99,87,56,4.9,MG,1660363649
Kota Kinabalu,5.9749,116.0724,88.88,89.58,79,20,5.99,MY,1660363461
Cherskiy,68.75,161.3,46.76,46.76,52,52,17.4,RU,1660363650
Alyangula,-13.8483,136.4192,79.43,79.43,61,15,15.57,AU,1660363650
Bagan,54.1001,77.6646,68.14,68.14,66,95,14.27,RU,1660363651
Whyalla,-33.0333,137.5833,59.47,59.47,52,40,15.99,AU,1660363651
San Patricio,28.017,-97.5169,79.52,84.09,71,49,4.25,US,1660363651
Khovd,48.0056,91.6419,64.81,64.81,56,49,8.12,MN,1660363652
Vilyuysk,63.7553,121.6247,66.13,66.13,55,97,6.89,RU,1660363652
Okhotsk,59.3833,143.3,59.52,59.52,86,100,7.05,RU,1660363652
Tezu,27.9167,96.1667,80.85,80.85,95,100,0.58,IN,1660363653
Kalmunai,7.4167,81.8167,85.93,85.93,63,72,6.44,LK,1660363653
Camacha,33.0833,-16.3333,65.62,65.62,83,20,6.91,PT,1660363654
Lakes Entrance,-37.8811,147.981,52.66,52.66,82,100,4.97,AU,1660363655
Walvis Bay,-22.9575,14.5053,53.1,53.1,77,29,8.68,NA,1660363655
Bang Saphan,11.2126,99.5117,86.83,86.83,62,100,5.37,TH,1660363655
Ust'-Ishim,57.6935,71.1665,56.91,56.91,97,100,7.81,RU,1660363656
Molepolole,-24.4066,25.4951,55.87,55.87,30,12,7.16,BW,1660363656
Mahārāganj,27.1333,83.5667,90.27,90.27,60,2,5.97,IN,1660363657
Batticaloa,7.7102,81.6924,86.16,86.16,61,76,5.14,LK,1660363657
Atar,20.5169,-13.0499,80.19,80.19,66,100,19.33,MR,1660363658
Béboto,8.2668,16.939,68.04,68.04,98,100,3.0,TD,1660363658
Kayerkan,69.3497,87.7602,59.52,59.52,58,100,18.84,RU,1660363659
Prado,-17.3411,-39.2208,71.28,71.28,77,75,11.41,BR,1660363660
Jalu,29.0331,21.5482,77.81,77.81,37,0,1.83,LY,1660363660
Sátão,40.7418,-7.7329,57.42,57.42,80,12,1.72,PT,1660363660
Progreso,21.2833,-89.6667,80.11,80.71,85,100,13.58,MX,1660363661
Burnie,-41.0667,145.9167,56.95,56.95,57,4,4.38,AU,1660363661
Lázaro Cárdenas,17.9583,-102.2,77.72,77.72,89,100,2.35,MX,1660363662
Kabalo,-6.05,26.9167,71.76,71.76,37,30,3.31,CD,1660363662
Tulun,54.5611,100.5792,69.21,69.21,60,49,3.22,RU,1660363662
Itanagar,27.1,93.6167,80.42,80.42,90,100,6.04,IN,1660363663
Agüimes,27.9054,-15.4461,67.66,70.43,73,40,21.85,ES,1660363663
Port Macquarie,-31.4333,152.9167,71.89,71.89,46,88,7.36,AU,1660363664
Chicama,-7.8447,-79.1469,57.74,57.74,85,56,4.94,PE,1660363664
La Reforma,25.0833,-108.05,81.59,81.59,81,31,2.75,MX,1660363665
Lazeshchyna,48.2685,24.4201,57.56,57.56,99,99,2.73,UA,1660363665
Quryq,43.2,51.65,84.88,84.88,27,6,8.25,KZ,1660363666
Taltal,-25.4,-70.4833,56.68,56.68,75,6,4.25,CL,1660363666
Guozhen,34.3659,107.359,100.6,100.6,33,100,4.76,CN,1660363666
Maningrida,-12.0667,134.2667,86.09,86.09,45,6,14.61,AU,1660363667
Puerto Carreño,6.189,-67.4859,75.09,75.09,94,100,8.25,CO,1660363667
Gbadolite,4.2833,21.0167,69.66,69.66,98,86,1.9,CD,1660363668
Provideniya,64.3833,-173.3,54.79,54.79,82,97,4.52,RU,1660363669
Yei,4.095,30.6779,65.43,65.43,98,99,1.12,SS,1660363669
Kloulklubed,7.0419,134.2556,75.7,75.7,76,100,9.48,PW,1660363669
Moreira Sales,-24.0622,-53.0069,55.08,55.08,75,21,6.93,BR,1660363670
Abu Dhabi,24.4667,54.3667,91.96,91.96,52,90,12.33,AE,1660363556
Sarakhs,36.5449,61.1577,82.92,82.92,21,0,10.63,IR,1660363671
Pisco,-13.7,-76.2167,57.02,57.25,88,75,4.61,PE,1660363671
Ternovka,51.678,41.6375,73.22,73.22,48,90,7.7,RU,1660363672
Makueni Boma,-1.8041,37.6203,59.65,59.65,84,100,3.24,KE,1660363672
Marshfield,44.6689,-90.1718,56.44,58.08,82,40,5.75,US,1660363673
Hay River,60.8156,-115.7999,58.98,58.98,58,0,5.48,CA,1660363673
Corpus Christi,27.8006,-97.3964,81.21,84.24,79,100,5.75,US,1660363564
Bandrele,-12.9067,45.1914,74.95,74.95,78,0,10.36,YT,1660363674
Energetik,51.7445,58.7934,69.55,69.55,49,0,6.53,RU,1660363674
Zile,40.3031,35.8864,67.59,67.59,88,2,1.68,TR,1660363675
Aginskoye,51.1,114.53,74.95,74.95,35,32,4.61,RU,1660363675
San Andrés,12.5847,-81.7006,80.62,80.62,83,75,5.75,CO,1660363516
Chake Chake,-5.2459,39.7666,72.59,72.59,80,74,8.41,TZ,1660363676
Kamnik,46.2259,14.6121,50.43,57.04,88,75,2.3,SI,1660363676
Sangar,63.9242,127.4739,66.81,66.81,75,75,3.2,RU,1660363677
Sungai Penuh,-2.0833,101.3833,72.12,72.12,79,100,0.74,ID,1660363677
Kuah,6.3265,99.8432,82.2,82.2,74,23,5.39,MY,1660363678
Linxia Chengguanzhen,35.6003,103.2064,82.76,82.76,54,90,3.18,CN,1660363678
Yining,29.0361,114.5636,101.57,101.57,34,16,4.83,CN,1660363679
Wasilla,61.5814,-149.4394,58.48,62.4,91,75,5.75,US,1660363679
Algeciras,36.1333,-5.4505,76.68,76.68,78,75,4.61,ES,1660363679
Tessalit,20.1986,1.0114,87.08,87.08,38,96,3.87,ML,1660363680
Jackson,42.4165,-122.8345,63.64,75.07,43,0,4.61,US,1660363660
Ust'-Uda,54.1742,103.0304,70.25,70.25,57,23,3.49,RU,1660363680
Orange Cove,36.6244,-119.3137,79.68,89.26,32,0,5.75,US,1660363622
Ponta Delgada,37.7333,-25.6667,70.52,70.52,83,20,6.91,PT,1660363681
Fortuna,40.5982,-124.1573,58.12,62.65,87,0,8.05,US,1660363636
Jasper,37.2001,-94.3502,71.46,79.56,67,0,3.44,US,1660363681
Willowmore,-33.2926,23.4895,44.02,44.02,80,100,3.0,ZA,1660363682
Oranjemund,-28.55,16.4333,55.58,55.58,93,100,6.11,NA,1660363682
Marystown,47.1666,-55.1483,62.17,62.17,99,100,8.08,CA,1660363682
Belyy Yar,53.6039,91.3903,69.69,70.86,68,0,4.47,RU,1660363683
Vestmannaeyjar,63.4427,-20.2734,48.97,48.97,76,100,10.47,IS,1660363683
Bandarbeyla,9.4942,50.8122,80.04,80.04,62,100,28.9,SO,1660363684
Okha,53.5739,142.9478,55.27,55.27,93,100,14.67,RU,1660363684
San Miguel,13.4833,-88.1833,73.24,73.24,98,99,2.04,SV,1660363496
Emba,48.8264,58.1442,81.82,81.82,40,0,4.9,KZ,1660363685
Roald,62.5833,6.1333,55.09,63.16,94,100,3.44,NO,1660363685
Udangudi,8.4333,78.0167,89.78,89.78,54,100,5.86,IN,1660363686
São Félix do Xingu,-6.6447,-51.995,74.34,74.34,46,17,1.86,BR,1660363686
Bluefields,12.0137,-83.7635,76.71,76.71,93,100,4.07,NI,1660363687
Fare,-16.7,-151.0167,78.49,78.49,67,9,15.03,PF,1660363687
Ratnagiri,16.9833,73.3,79.97,79.97,86,100,15.41,IN,1660363687
Riyadh,24.6877,46.7219,93.34,93.34,20,85,16.46,SA,1660363688
Tsogni,-2.7942,10.0988,70.93,70.93,82,100,4.25,GA,1660363688
Soledade,-28.8183,-52.5103,52.09,52.09,86,100,9.26,BR,1660363688
Severodvinsk,64.5635,39.8302,57.11,57.31,71,2,9.04,RU,1660363689
Tilichiki,60.4667,166.1,64.96,64.96,64,19,4.56,RU,1660363689
Morehead,37.2711,-87.1764,63.99,67.75,84,0,3.44,US,1660363689
Trivandrum,8.4833,76.9167,82.38,82.38,78,40,6.91,IN,1660363690
Szczecinek,53.7079,16.6994,62.06,62.06,82,94,4.7,PL,1660363690
Srednekolymsk,67.45,153.6833,61.63,61.63,38,93,13.49,RU,1660363691
Lima,-12.0432,-77.0282,59.9,59.9,85,31,6.96,PE,1660363407
Namtsy,62.7161,129.6658,74.88,74.88,44,61,5.48,RU,1660363691
Bilibino,68.0546,166.4372,52.07,52.07,61,99,2.68,RU,1660363691
Saint-François,46.4154,3.9054,54.84,56.68,71,0,0.0,FR,1660363692
Swan River,52.1058,-101.2676,63.64,63.64,83,19,4.27,CA,1660363692
Marawi,7.9986,124.2928,81.19,81.19,70,67,1.57,PH,1660363693
Hatillo,18.4863,-66.8254,73.17,79.09,90,100,1.01,PR,1660363693
Harper,4.375,-7.7169,74.8,74.8,83,100,11.1,LR,1660363694
Guayaramerín,-10.8368,-65.3614,73.87,73.87,66,31,2.01,BO,1660363695
Sitka,57.0531,-135.33,60.69,60.69,82,100,3.44,US,1660363695
Leshukonskoye,64.8989,45.7622,54.64,54.64,67,6,8.79,RU,1660363696
Nyurba,63.2842,118.3319,64.38,64.38,71,99,6.69,RU,1660363696
Beringovskiy,63.05,179.3167,58.46,58.46,76,60,5.68,RU,1660363696
Labuhan,-6.8844,112.2051,88.5,88.5,60,31,6.82,ID,1660363697
Xapuri,-10.6517,-68.5044,74.59,74.59,68,4,1.1,BR,1660363697
Sayyan,15.1718,44.3244,64.42,64.42,65,87,5.99,YE,1660363698
Saint-Pierre,-21.3393,55.4781,63.18,68.92,70,20,8.05,RE,1660363698
Mandalgovi,45.7625,106.2708,66.67,66.67,55,100,12.21,MN,1660363698
Belawan,3.7755,98.6832,82.29,82.69,83,100,3.44,ID,1660363699
Noumea,-22.2763,166.4572,76.98,77.0,99,71,15.37,NC,1660363699
Rawson,-43.3002,-65.1023,48.54,48.54,67,87,2.37,AR,1660363699
Oruzgan,32.8333,66.0,82.98,82.98,22,37,2.08,AF,1660363700
Ayní,39.3941,68.5377,76.35,76.35,33,0,1.28,TJ,1660363700
Madimba,-10.4,40.3333,66.99,66.99,88,19,4.83,TZ,1660363701
Dandong,40.1292,124.3947,80.44,80.44,73,79,2.37,CN,1660363701
Socorro,31.6546,-106.3033,81.61,84.49,41,75,3.44,US,1660363701
Mumford,5.2618,-0.759,72.09,72.09,95,56,10.69,GH,1660363702
Dunda,-8.1167,34.25,54.55,54.55,79,47,2.19,TZ,1660363702
Dzhebariki-Khaya,62.2167,135.8,61.7,61.7,81,100,3.38,RU,1660363703
Estelle,29.8458,-90.1067,77.0,80.6,80,75,3.44,US,1660363703
Adré,13.4667,22.2,68.59,68.59,95,85,3.24,TD,1660363704
Ust'-Koksa,50.2696,85.6108,63.19,63.19,73,82,2.73,RU,1660363704
Mogadishu,2.0371,45.3438,75.85,75.85,84,93,17.85,SO,1660363705
Deputatsky,69.3,139.9,48.38,48.38,70,100,9.69,RU,1660363705
La Ronge,55.1001,-105.2842,58.21,58.21,65,38,3.69,CA,1660363706
Macas,-2.3167,-78.1167,67.1,67.1,92,91,2.08,EC,1660363654
Srīvardhan,18.0333,73.0167,80.2,80.2,88,78,15.82,IN,1660363706
Weiser,44.251,-116.9693,78.89,83.32,45,0,3.06,US,1660363707
Torzhok,57.0436,34.9622,61.81,61.81,79,98,0.22,RU,1660363707
Koundara,12.4833,-13.3,72.07,72.07,98,100,4.99,GN,1660363707
Liberal,37.0431,-100.921,76.24,78.94,38,0,9.22,US,1660363708
Nagapattinam,10.7667,79.8333,87.46,87.46,59,100,7.09,IN,1660363708
Kathu,7.9178,98.3332,85.82,85.82,70,16,8.12,TH,1660363709
High Level,58.5169,-117.136,63.39,63.39,61,1,6.96,CA,1660363709
Xiuyan,40.2928,123.2744,79.03,79.03,75,87,5.5,CN,1660363709
Mīzan Teferī,6.9833,35.5833,61.05,61.05,99,100,0.34,ET,1660363710
Avezzano,42.0402,13.4388,55.45,62.73,80,79,2.28,IT,1660363710
Sistranda,63.7256,8.834,55.36,55.36,76,100,6.69,NO,1660363711
Hudson Bay,52.85,-102.3842,62.19,62.19,97,33,5.5,CA,1660363711
Carballo,43.213,-8.691,55.42,58.42,97,46,1.77,ES,1660363711
Maku,39.2911,44.4521,71.17,71.17,54,0,3.47,IR,1660363712
Mangalore,12.8667,74.8833,81.46,81.46,83,40,3.44,IN,1660363712
Calabozo,8.9242,-67.4293,73.29,73.29,95,63,2.64,VE,1660363713
Nālūt,30.3333,10.85,75.49,75.49,52,0,10.78,LY,1660363713
Kātol,21.2667,78.5833,79.11,79.11,81,95,13.24,IN,1660363714
Buraidah,26.326,43.975,92.01,92.01,22,5,8.01,SA,1660363714
Huazhou,21.6333,110.5833,86.0,86.0,74,82,8.16,CN,1660363715
Jamnagar,22.4667,70.0667,82.87,82.87,76,98,17.2,IN,1660363715
Kalispell,48.1958,-114.3129,60.76,69.39,80,0,0.0,US,1660363664
Yelizovo,53.1873,158.3805,68.14,69.12,64,75,6.71,RU,1660363716
Tucupita,9.0622,-62.051,74.08,74.08,99,15,2.73,VE,1660363716
Ust-Tsilma,65.441,52.1498,54.09,54.09,75,30,10.87,RU,1660363717
La Libertad,-2.2333,-80.9,68.59,68.59,84,100,9.89,EC,1660363717
Qaqortoq,60.7167,-46.0333,45.9,45.9,95,100,2.95,GL,1660363718
Lethbridge,49.7,-112.8186,70.65,70.65,68,85,7.92,CA,1660363454
Kutum,14.2,24.6667,69.31,69.31,86,99,4.99,SD,1660363718
Bulgan,48.8125,103.5347,57.33,57.33,94,100,3.56,MN,1660363719
São José da Coroa Grande,-8.8978,-35.1478,74.82,74.82,79,0,10.65,BR,1660363719
Yashkul',46.1711,45.3435,83.77,83.77,24,100,14.18,RU,1660363720
Whitianga,-36.8333,175.7,55.47,55.47,65,67,7.45,NZ,1660363720
Dmytrivka,45.9717,28.9864,69.69,69.69,75,99,13.42,UA,1660363721
Brandfort,-28.7001,26.4597,45.37,45.37,38,10,0.94,ZA,1660363722
Brae,60.3964,-1.353,54.41,54.41,83,100,3.94,GB,1660363722
Bāg,22.3667,74.7667,80.42,80.42,80,98,10.54,IN,1660363723
Yumen,40.2833,97.2,82.87,82.87,27,65,7.05,CN,1660363723
Necochea,-38.5473,-58.7368,57.54,57.54,64,100,11.63,AR,1660363724
Isaccea,45.2667,28.4667,70.29,70.43,78,3,10.67,RO,1660363724
Luxor,25.6989,32.6421,82.53,82.53,30,7,7.49,EG,1660363724
Caibiran,11.5717,124.5822,84.33,84.33,76,83,3.15,PH,1660363725
Flinders,-34.5833,150.8552,63.37,63.37,60,95,8.12,AU,1660363725
Cartagena,10.3997,-75.5144,78.42,78.42,94,75,11.5,CO,1660363561
Broumov,50.5857,16.3318,56.44,62.73,100,100,3.53,CZ,1660363726
Aykhal,66.0,111.5,41.2,41.2,92,100,15.99,RU,1660363726
Mahanoro,-19.9,48.8,63.19,63.19,89,24,3.94,MG,1660363727
Katsuura,35.1333,140.3,78.82,78.82,89,75,23.64,JP,1660363727
Zeya,53.75,127.2667,66.16,66.16,75,93,2.82,RU,1660363727
Diplo,24.4667,69.584,83.77,83.77,75,97,15.82,PK,1660363728
Rocha,-34.4833,-54.3333,54.07,54.07,97,100,8.21,UY,1660363728
Abnūb,27.2696,31.1511,78.82,78.82,56,20,10.16,EG,1660363729
Khingansk,49.1167,131.1833,64.58,64.58,82,47,2.8,RU,1660363729
Kodinsk,58.6881,99.1844,62.33,62.33,55,83,3.85,RU,1660363729
Santiago del Estero,-27.7951,-64.2615,60.03,60.03,45,52,3.8,AR,1660363730
Ilebo,-4.3167,20.5833,68.4,68.4,33,48,2.26,CD,1660363730
Padang,-0.9492,100.3543,86.05,86.05,74,98,3.53,ID,1660363731
Gravelbourg,49.8834,-106.5512,75.78,75.78,39,9,8.95,CA,1660363731
Walla Walla,46.0646,-118.343,76.86,83.88,46,0,5.75,US,1660363732
Pringsewu,-5.3582,104.9744,86.38,86.38,64,94,3.62,ID,1660363732
Kamina,-8.7386,24.9906,61.16,61.16,43,94,3.71,CD,1660363732
Jiuquan,39.7432,98.5174,80.38,80.38,36,95,14.47,CN,1660363733
Tashara,55.5195,83.5094,72.18,72.18,46,28,3.89,RU,1660363733
Meget,52.415,104.0494,70.56,71.76,43,76,1.21,RU,1660363733
Hamilton,39.1834,-84.5333,58.1,65.57,85,0,0.0,US,1660363734
Nouadhibou,20.931,-17.0347,72.79,72.79,82,75,10.29,MR,1660363734
